,route,rides
4744,1,1699.0
13322,100,547.0
16286,1001,177.0
23565,103,1979.0
30839,106,1410.0
36099,108,1043.0
43195,11,1573.0
50469,111,3240.0
53102,111A,173.0
60376,112,1958.0
63283,115,2991.0
70557,119,3869.0
77831,12,12165.0
83090,120,805.0
88169,121,1220.0
100577,124,1033.0
105842,125,1181.0
112938,126,5152.0
127297,134,3089.0
132377,135,3934.0
137458,136,2137.0
145918,143,1970.0
159752,146,13047.0
166877,147,11939.0
171290,148,2709.0
177414,15,7628.0
184688,151,15145.0
191962,152,11426.0
199812,155,6636.0
205071,156,7003.0
210153,157,6805.0
213702,165,251.0
221713,169,165.0
235403,171,1471.0
242205,172,2220.0
252688,18,3977.0
258942,192,950.0
264024,2,3779.0
271120,20,16182.0
279393,201,2237.0
289699,206,714.0
296795,21,8697.0
304069,22,17095.0
309332,24,2723.0
315127,26,4469.0
323195,28,6009.0
330469,29,11337.0
338828,3,16734.0
346102,30,3353.0
347360,31,555.0
357583,34,5021.0
364857,35,4907.0
372131,36,11725.0
375868,37,1607.0
382067,39,2016.0
389341,4,20238.0
396685,43,1483.0
403959,44,3068.0
411233,47,9270.0
416492,48,1033.0
423588,49,15925.0
433920,49B,5311.0
439002,5,502.0
446275,50,10475.0
453549,51,1476.0
460823,52,13179.0
468097,52A,4302.0
475371,53,18329.0
482645,53A,8471.0
491199,54,10196.0
496458,54A,830.0
503554,54B,2888.0
510828,55,8937.0
514554,55A,308.0
520586,55N,596.0
527766,56,8210.0
538092,57,2367.0
544308,59,3452.0
551488,6,9225.0
558762,60,11728.0
566036,62,10349.0
572246,62H,916.0
579426,63,15231.0
586700,63W,1532.0
597055,65,8308.0
604329,66,22459.0
611603,67,9413.0
618877,68,1094.0
627208,7,5901.0
634305,70,8954.0
641579,71,8942.0
648853,72,13898.0
656127,73,5760.0
663401,74,11939.0
670675,75,7040.0
677949,76,10369.0
685223,77,20500.0
692497,78,8293.0
699771,79,23516.0
707045,8,23354.0
714319,80,11203.0
721593,81,11218.0
728865,81W,1705.0
736139,82,17035.0
743413,84,3825.0
750687,85,9635.0
756897,85A,844.0
762062,86,2911.0
769158,87,10948.0
776432,88,1347.0
783706,8A,2962.0
790980,9,17191.0
798254,90,4438.0
809198,91,6561.0
816472,92,6417.0
822682,93,3919.0
829862,94,8936.0
831412,95,5553.0
848123,96,884.0
855219,97,2966.0
858173,J14,10688.0
870189,X49,6945.0
877775,X9,8375.0
882840,X98,9.0
